"Player_name","Year","Level","T","PA","AB","AVG","HR","SLG","OBP","Kpct","BBpct","BABIP","wOBA","BABIP_denom","wOBA_denom"
"赤田　将吾",2012,"Top","Bs",76,72,0.139,1,0.25,0.184,28.9,5.26,0.184,0.195,49,76
"安達　了一",2012,"Top","Bs",103,88,0.159,0,0.216,0.216,22.3,6.8,0.209,0.199,67,97
"荒金　久雄",2012,"Top","Bs",8,8,0.25,0,0.25,0.25,25,0,0.333,0.216,6,8
"李　大浩",2012,"Top","Bs",601,525,0.286,24,0.478,0.368,14.1,10.65,0.299,0.367,421,598
"井川　慶",2012,"Top","Bs",0,0,0,0,0,0,0,0,0,0,0,0
"伊藤　光",2012,"Top","Bs",197,176,0.205,0,0.256,0.222,24.4,2.54,0.273,0.21,132,185
"大引　啓次",2012,"Top","Bs",432,352,0.224,6,0.315,0.317,17.1,10.65,0.265,0.287,275,404
"海田　智行",2012,"Top","Bs",0,0,0,0,0,0,0,0,0,0,0,0
"梶本　勇介",2012,"Top","Bs",67,61,0.213,0,0.328,0.246,25.4,4.48,0.289,0.253,45,65
"香月　良太",2012,"Top","Bs",0,0,0,0,0,0,0,0,0,0,0,0
"金子　千尋",2012,"Top","Bs",7,6,0.167,0,0.167,0.167,42.9,0,0.333,0.144,3,6
"鴨志田　貴司",2012,"Top","Bs",0,0,0,0,0,0,0,0,0,0,0,0
"川端　崇義",2012,"Top","Bs",484,429,0.266,2,0.317,0.315,12.2,4.55,0.304,0.282,368,459
"木佐貫　洋",2012,"Top","Bs",5,4,0.25,0,0.25,0.4,20,20,0.333,0.311,3,5
"岸田　護",2012,"Top","Bs",0,0,0,0,0,0,0,0,0,0,0,0
"北川　博敏",2012,"Top","Bs",159,140,0.221,1,0.286,0.302,14.5,10.69,0.254,0.268,118,159
"桑原　謙太朗",2012,"Top","Bs",0,0,0,0,0,0,0,0,0,0,0,0
"小島　脩平",2012,"Top","Bs",91,87,0.218,0,0.218,0.244,20.9,3.3,0.279,0.206,68,90
"後藤　光尊",2012,"Top","Bs",546,520,0.242,4,0.306,0.266,13.6,2.56,0.272,0.251,448,545
"小松　聖",2012,"Top","Bs",0,0,0,0,0,0,0,0,0,0,0,0
"近藤　一樹",2012,"Top","Bs",0,0,0,0,0,0,0,0,0,0,0,0
"齋藤　俊雄",2012,"Top","Bs",107,92,0.207,0,0.239,0.223,31.8,0.93,0.328,0.205,58,94
"坂口　智隆",2012,"Top","Bs",165,158,0.228,0,0.253,0.252,7.9,3.03,0.248,0.223,145,163
"佐藤　達也",2012,"Top","Bs",0,0,0,0,0,0,0,0,0,0,0,0
"縞田　拓弥",2012,"Top","Bs",51,44,0.182,0,0.227,0.217,21.6,3.92,0.242,0.201,33,46
"駿太",2012,"Top","Bs",31,29,0.138,0,0.138,0.138,29,0,0.2,0.119,20,29
"スケールズ",2012,"Top","Bs",362,305,0.262,5,0.384,0.373,28.5,12.98,0.377,0.341,199,361
"鈴木　郁洋",2012,"Top","Bs",77,66,0.197,0,0.212,0.284,20.8,10.39,0.26,0.233,50,74
"高橋　信二",2012,"Top","Bs",93,89,0.202,2,0.303,0.237,16.1,4.3,0.222,0.233,72,92
"高橋　秀聡",2012,"Top","Bs",0,0,0,0,0,0,0,0,0,0,0,0
"高宮　和也",2012,"Top","Bs",0,0,0,0,0,0,0,0,0,0,0,0
"竹原　直隆",2012,"Top","Bs",107,97,0.186,4,0.34,0.234,26.2,5.61,0.206,0.249,68,107
"塚原　頌平",2012,"Top","Bs",0,0,0,0,0,0,0,0,0,0,0,0
"辻　俊哉",2012,"Top","Bs",6,6,0.167,0,0.167,0.167,16.7,0,0.2,0.144,5,6
"Ｔ－岡田",2012,"Top","Bs",404,378,0.28,10,0.418,0.327,20,5.45,0.334,0.326,287,403
"寺原　隼人",2012,"Top","Bs",3,3,0,0,0,0,66.7,0,0,0,1,3
"中村　一生",2012,"Top","Bs",60,54,0.204,1,0.333,0.241,40,3.33,0.333,0.254,30,58
"中山　慎也",2012,"Top","Bs",5,5,0.2,0,0.2,0.2,60,0,0.5,0.173,2,5
"西　勇輝",2012,"Top","Bs",6,4,0,0,0,0.2,50,16.67,0,0.138,1,5
"西川　雅人",2012,"Top","Bs",0,0,0,0,0,0,0,0,0,0,0,0
