"Player_name","Year","Level","T","G","W","L","IP","TBF","Kpct","BBpct","K_BB","HR_9","FIP","ERA","DER","DER_denom"
"井川　慶",2012,"Top","Bs","12","2","7",62,278,12.9,11.15,1.8,0.73,4.1,4.65,0.714,206
"海田　智行",2012,"Top","Bs","31","0","4",56.3,245,12.2,8.16,4.1,0.32,3.131,3.04,0.684,193
"香月　良太",2012,"Top","Bs","52","1","2",40,176,11.9,8.52,3.4,0.45,3.416,5.18,0.708,137
"金子　千尋",2012,"Top","Bs","9","4","3",63.7,265,21.1,5.66,15.5,0.28,2.019,2.4,0.672,192
"鴨志田　貴司",2012,"Top","Bs","2","0","0",2.3,8,12.5,25,-12.5,0,4.33,0,1,5
"木佐貫　洋",2012,"Top","Bs","24","5","9",152.3,628,15.3,6.69,8.6,0.47,2.905,2.6,0.73,481
"岸田　護",2012,"Top","Bs","52","4","2",52,214,22.9,6.07,16.8,0.87,2.501,2.42,0.692,143
"桑原　謙太朗",2012,"Top","Bs","2","0","0",2,8,12.5,12.5,0,0,4.616,0,1,6
"小松　聖",2012,"Top","Bs","21","3","5",64.3,288,15.6,6.6,9,0.98,3.797,4.9,0.694,216
"近藤　一樹",2012,"Top","Bs","1","0","1",6,27,11.1,3.7,7.4,0,2.116,4.5,0.652,23
"佐藤　達也",2012,"Top","Bs","14","0","1",21,91,25.3,9.89,15.4,0,1.711,3.43,0.712,59
"高橋　秀聡",2012,"Top","Bs","5","0","0",3.7,17,11.8,11.76,0,0,3.161,7.36,0.615,13
"高宮　和也",2012,"Top","Bs","1","0","0",1,4,0,0,0,9,15.616,9,0.667,3
"塚原　頌平",2012,"Top","Bs","16","1","1",35,143,17.5,9.09,8.4,0.77,3.416,3.6,0.765,102
"寺原　隼人",2012,"Top","Bs","16","6","8",101,441,13.8,7.03,6.8,0.62,3.319,3.92,0.687,342
"中山　慎也",2012,"Top","Bs","53","1","7",106.7,447,20.8,6.71,14.1,0.34,2.288,2.87,0.684,320
"西　勇輝",2012,"Top","Bs","19","8","3",123,503,17.3,6.56,10.7,0.22,2.445,2.78,0.729,380
"西川　雅人",2012,"Top","Bs","2","0","0",1.3,11,0,9.09,-9.1,0,7.116,20.25,0.6,10
"比嘉　幹貴",2012,"Top","Bs","12","1","0",10,34,14.7,0,14.7,0,1.616,1.8,0.724,29
"平野　佳寿",2012,"Top","Bs","70","7","4",79.7,307,26.1,1.63,24.4,0.45,1.486,2.15,0.719,217
"フィガロ",2012,"Top","Bs","11","0","5",64,268,13.8,7.09,6.7,0.7,3.507,3.09,0.729,207
